PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
1334,Mueller,Mathias,& Sohn,,,,Beschreibung und Zeichnung des GabelHarmonPiano Forte,Klavier,Wien,1827,14.05.1827
1335,Fleischinger,Franz,,,,,"Beschreibung der Neuen Erfindung, welche ... darin besteht, Eine Neue art Mahlerey sowohl auf
Holtz-Papier-Seide-Atlas-Samet Orkantin-Musselin sowohl in Oehl als in Tuschfarben ohne
forkentnissen fon Zeichnen oder Mahlereyen Nothwendig zu haben, Sondern Nehmlich mit
diessen Modellen Von Gefirnisten Pabir, Welches muß Ausgeschnitten werden so wie es die
Zeichnungen befordern ...",Schablone,Wien,1831,03.01.1831
1336,Friedrich,Georg Adam,Reitter,Joseph,,,"Beschreibung zur Verfertigung der von uns Gefertigten neu Verbesserten Männer Filz- und
Seidenhüte, ...",Hut,Wien,1831,04.07.1831
1337,Kube,Augustin,,,,,Beschreibung einer verbesserten WollwarenRauh-Scher-Preß- und DikadierMaschine,"Dekatiermaschine, Rauhmaschine,
Tuchschere",Iglau,1833,17.03.1833
1338,Riesse,Gottfried,,,,,"Beschreibung der ... Erfindung, gestampfte Metallwaren mit Spiegelsteinen besetzt, zu
verfertigen, als Schnallen-, Beutel-, Mantel- und Halsschließen, Schlüsselhaken, Ohrgehänge,
Knöpfe, Fingerringe, Kreuzeln, Colliers, Braceletten, Kämme, Verzierungen zu  Spiegelrahmen,
Uhrgehäuse, Schatullen u. Beschläge zu Möbeln","Metallwaren, Galanterie, Beschlag,
Gravieren",Wien,1834,03.01.1834
1339,Lazarevitsch,Johann,,,,,"Beschreibung ... a) Die Erfindung, geometrische Männerkleider aus einem Stücke im Ganzen
bestehend /:mit Ausnahme der Aermeln:/ zu verfertigen ... b) Die Verbesserung, Beinkleider zu
verfertigen, wodurch man die Hosenträger gänzlich entbehret, ... Gilets auf obige Weise zu
verfertigen, die ebenfalls ... gefällig sich schließen ...","Kleidung, Schneiderei, Zuschneiden",Wien,1834,28.07.1834
1340,Dvorcak,Johann,Weissengruber,Johann,,,"Beschreibung der ganz neu erfundenen Art Möbel von besonderer Eleganz, allgemeiner
Brauchbarkeit zu verfertigen",Möbel,Prag,1830,06.09.1830
1341,Lorenz,Kaspar,,,,,"... zeiget hiemit an, eine neue Verbesserung der Querfortepiano gemacht zu haben, ...",Klavier,Wien,1834,18.12.1834
1342,Harrer,Martin,,,,,"Beschreibung der ... Entdekung ...: Durch die Zusammensetzung mehrerer Gattungen
Trinkgeschirre für den Gebrauch der k.k. Armee erzeugt werden, welche wohlfeiler, brauchbarer,
dauerhafter und der Gesundheit zuträglicher sind, als die bisherigen blechernen Feldflaschen und
hölzernen Csuttera","Trinkgefäß, Feldflasche, Tonwaren",Wien,1833,21.09.1833
1343,Jasper,Christian Georg,,,,,Beschreibung der Rastrir-Rubricir- oder Lienirmaschine,Liniermaschine,Wien,1824,30.09.1824
1344,"Berchtold-
Ungerschuetz",Karl Graf v.,,,,,"Beschreibung der ... Erfindung von Eisenbahnrädern oder beweglichen Eisenbahnen oder auch mit
sich führende Eisenbahnwägen, welche ... darin besteht, daß man damit auf jeder Strasse dem
Pferde eine größere Last aufladen, leichter und sohin geschwinder bey jeder Witterung fahren
kann, und eine Art der Eisenbahnräder auch an jedem Lastwagen anzubringen ist","Raupenfahrzeug, Wagen, Eisenbahn,",Wien,1833,02.04.1833
1345,"Berchtold-
Ungerschuetz",Karl Graf v.,,,,,"Beschreibung der ... Verbesserung, ..., daß solche bei jeder gewöhnlichen Mühle angebracht
werden könne - daß hiedurch das Verhältniß der Körner-Vermahlung nicht gestört, ja selbe sogar
beschleunigt werden könne ...",Mühle,Wien,1832,20.10.1832
1346,Auhl,Johann,,,,,"Beschreibung der ... Verbesserung, ...: Eine neue Art Rände an den Seidenhüten aus einem ganz
neu erfundenen Stoffe zu machen, welche nie brechen, noch durch die Witterung Schaden leiden
kann, ...",Hut,Wien,1833,15.05.1833
1347,Ram,Ignaz,,,,,"Beschreibung der neuen Verfahrungsart, naße Wände trocken zu machen","Mauer, Trockenlegung,
Feuchtigkeitsschutz, Imprägnierung",Wien,1830,05.02.1830
1348,Weilheim,Karl Ludwig,,,,,"Beschreibung der ... Verbesserung und Erfindung, ..., Auf die Verbesserung bey Erzeugung des
flüssigen Ammoniums /:Salmiakgeist:/ ... ferner auf die neue Erfindung eines Kittes, der .. dem
Durchbringen des heißen Ammoniakgases widersteht, und endlich auf die Verbesserung in der
Erzeugung der Salpetersäure ... wodurch auch ... ganz reine Säure gewonnen werden kann","Salmiakgeist, Kitt, Salpetersäure",Wien,1827,07.07.1827
1349,Cella,Philipp,,,,,"Beschreibung des verbesserten pneumatisch portativen Erd-Globus (nach der Erfindung von
Pocock in England) [Broschüre, abgedruckt zu München im Okt. 1831, liegt bei]","Erdglobus, Luftballonglobus",Wien,1833,11.01.1833
1350,Hecht,Joseph August,,,,,Beschreibung der Verkorkungs-Maschine,"Flaschenkorkmaschine,
Abfüllapparat/Mineralwasser",Franzensbad,1830,15.01.1830
1351,Uffenheimer,Johann Gabriel,Uffer,Johann,,,"Beschreibung der ... unter der Firma Johann Uffer [gemachten Erfindung], welche im Wesentlichen
darin besteht: zu verfertigen: Gaslicht-Doppelschirme, um die Lichtstrahlen bedeutend zu
verstärken","Lampe, Scheinwerfer",Wien,1835,08.02.1835
1352,Lattuda,Luigi,,,,,"Descrizione della Macchina a manubrio per trinciare legni ad uso de tintori in fette sottilissime ed
altri due ordigni anessi ... [Farbholzzerschneidemaschine]",Farbholzmühle,Milano,1835,06.05.1835
1353,Nuglisch,Adolph,Treu,Karl,,,"Früchten herzustellen, und diese mit einem Ueberzuge zu versehen, wodurch der Wohlgeruch der",,Wien,1834,
1354,Bouthon,Justin,,,,,"Descrizione dell'invenzione che ... consiste in una macchina di rame, ed in un nuovo metode di
preparazione del nero animale, colla quale macchina, e preparazione si scolorano gli Sciroppi e si
depura lo Zuccero, ... [Erzeugung der Knochenschwärze zur Zuckerraffinade]","Raffinade/Zucker, Knochenkohle",Milano,1828,12.05.1828
1355,Mueller,Leo,,,,,"Beschreibung der ... Verbesserung, ..., daß alle Theile an der BuchdruckerSchnellpreße möglichst
vereinfacht sind, ...",Druckmaschine,Schwaz,1835,08.11.1835
1356,Mach,Karl,,,,,Beschreibung der Invention der auf Mosaik-Art neu erfundener Verzierung bei Oefen,Kachelofen,Prag,1830,07.12.1830
1357,"Escher -
Felsenhof",Gustav Albert v.,,,,,"Beschreibung einer Methode zur Erwärmung von Gebäuden, Metall Körpern, und beliebigen
Gegenständen überhaupt, mittels der circulation einer nicht elastischen Flüßigkeit, wie z.B.
Wasser, welche Method von Anger March Perckins in der Grafschaft Middelsex in England
gemacht, daselbst priveligirt und dem Priv.-Werber zum Zwecke der Ertheilung eines Priv. in den
k.k.Oest. Staaten mitgetheilt wurde",Zentralheizung,Wien,1833,13.09.1833
1358,Steininger,Johann Michael,,,,,"Beschreibung in Beziehung auf SchraubenMuttern, zu welcher Verfertigung ich heute um ein
ausschließliches Privilegium das geziemende Ansuchen stelle","Schraubenmutter, Stanze",Ried/Innkreis,1832,01.03.1832
1359,Wedelis,Nathan,,,,,"Beschreibung der ... erfundenen Schnell-Schütz-Maschine, deren Wesenheit darin besteht, Auf
jedem Webstuhl mit einer willkührlich beliebigen Anzahl von Schnellschützen arbeiten zu können","Webstuhl, Schnellschütze",Prag,1834,22.12.1834
1360,Lebeda,Anton Vinzenz,,,,,Beschreibung dieses neu erfundenen [Jagdgewehr-]Schlosses sammt Gesperr,Gewehrschloß,Prag,1830,19.11.1830
1361,Decristofori,Luigi,,,,,"Descrizione d'una macchina condensatrice dell'aria atta a condurre il soffio perenne a forni per le
fusioni Metalliche non che a fornelli, e fucine ed ogni specie. [Luftverdichtungsmaschine für
Schmelzöfen]","Schmelzofen, Gebläse",Milano,1831,05.04.1831
1362,Michon,Antonia,geb. Granzini,,,,"Beschreibung einer Erfindung ... eines einheimischen Wollengewebes ... Aus diesem ... werden
Teppiche, Fußteppiche, Möbelstoffe usw. gemacht, indem man in denselben ... Blumen jeder Art,
verschiedene Arabesken ... anbringen kann ... als 1.) Oursins von dem Haare des Bären, ... 2.) Au
point d'Hongrie dammassès, mit dem ungarischen Stiche zusammengesetzt, oder damastartige
Wollenteppiche","Teppich, Möbelstoff, Damastteppich",Mailand,1830,26.01.1830
1363,Gilat,Johann,,,,,"Verfahren bei der Fabrikazion eines in die k.k.Oesterreichischen Staaten neu eingeführten
Wollenstoffes, welcher reiner und innländischer Cachemir genannt wird [Text frz.u.dt.]","Kaschmir, Wollstoff",Mailand,1830,28.07.1830
1364,Brey,Gaetano,,,,,"Descrizione della nuova Scoperta d'introduzione denominata Hauts Sondages de Jobard, che ...
consiste - Nella ricerca delle aque zampillanti, dell Mine, e delle Legnite fossili, con processi affato
differenti di quelli dei Pozzi Artesiani ... [Tiefbohrung]","Quellenerschließung, Tiefbohrung",Milano,1830,20.08.1830
1365,Magni,Domenico,,,,,"Beschreibung der Art und Weise in der Lombardei den Boden zuzubereiten, um Stroh zu erzeugen,
und daraus Hüte zu verfertigen, sowie die in Toskana; ferner der durch diese Methode schon
erhaltenen Muster von Strohgeflechten und der Näherei, um damit die Florentiner-Hüte
nachahmen zu können [Text ital.u.dt.]","Bodenbearbeitung, Stroh, Hut",Mailand,1830,16.08.1830
1366,Kuehne,,Tetzner,,,,"Beschreibung der verbesserten Spuhlmaschine zur Erzeugung des Vorgespinnstes bei
Spinnfabriken",Spulmaschine,Rotenhaus,1829,14.10.1829
1367,Czerny,Johann Niklas,,,,,Beschreibung der ... Erfindung der Brandweinapparate mit Bezug auch auf die Bierbrauerei ...,"Destillierapparat, Brauapparat",Prag,1833,29.11.1833
1368,Schoenau,"Wolfgang Julius
Frh.v.",,,,,"Beschreibung der ... Erfindung auf Steingut-bisuit unter der Glasur, Kupfer- und Steinstiche in
verschiedenen Farben abzuziehen","Tonwaren, Abziehbild, Dessin",Prag,1828,20.11.1828
1369,Rotter,Johann,,,,,"Beschreibung der ... Erfindung der unterm 10.May d.J. privilegirte Zubereitung der Schafwolle und
Schafwollgespinste auch auf ungezwirnte und gezwirnte Baumwolle und Leinengarn anzuwenden","Garn, Dekatiermaschine, Wollwäsche",Wien,1830,10.06.1830
1370,Rotter,Johann,,,,,"Beschreibung der ... Erfindung einer neuen Zubereitung eines Wollen-Kettengarns, welches ohne
geleimt zu werden, die erforderliche Stärke und Haltbarkeit hat, und demnach zu Schawls,
Merinos und allen feinen Wollenstoffen verwendet werden kann; dann eine neue
Zubereitungsmethode der Seidengespinnste ...","Garn, Seidengespinst, Wollwäsche",Wien,1830,17.09.1830
1371,Rotter,Johann,,,,,"Beschreibung mehrerer Verbesserungen ... auf die Zubereitung eines sehr festen als Kettengarn zu
vielen Wollstoffen anwendbaren Wollpowers, und auf eine neue Methode der Zubereitung der
Seidengespinste ...","Garn, Seidengespinst, Wollwäsche",Wien,1831,15.02.1831
1372,Venini,Carlo,,,,,"Descrizione del nuovo miglioramento ... che consiste ... nella diversa forma del pettine, suoi
brazzetti pel lavoro de fiorchie di filogello d'ogni sorta [Kamm]",Kamm,Wien,1833,25.05.1833
1373,Pilz,Friedrich Anton,,,,,Beschreibung die gelben ostindischen Nankings zu färben,"Baumwollstoff, Färben",Prag,1831,13.04.1831
1374,Poetscher,Joseph,,,,,damit dieselben ohne Nachtheil der Stoffe im zugerichteten Zustande eine ganz neue Art Appretur,Appreturmaschine,Wien,1833,
1375,Torchi,Luigi,,,,,"L'oggeto di questo meccanismo è di far rimontare le barche sui canali navigabili e in seguito anche
sui fiumi, approfitando della forza stessa delle correnti [Schiff zur Bergfahrt]","Schiffsantrieb, Getriebe",Milano,1835,28.04.1835
1376,Fritz,Franz,,,,,"Diese Verbesserung besteht darin, daß die Nähte auswendig durch einfaches Uiber einanderlegen
des Stoffes mittelst Durchnähens ... gemacht werden ...","Schneiderei, Kleidung",Graz,1835,16.02.1835
1377,Dirnboeck,Johann August,Schindler,Johann Michael,,,"Darstellung der Geheimniße bei Erzeugung der feuerfesten Schmelz-Tiegel, Töpferarbeiten,
chemischen Apparatur und Ziegel zu Schmelzöfen",Schmelztiegel,Graz,1835,16.02.1835
1378,Knobloch,Anton,,,,,"... zeigt an, daß er eine neue Erfindung gemacht habe, ..., daß auf alle Meublex die feinsten
Zeichnunge, Portraits u. Schriften auf Gold Silber u. Metal mittels einer gestochenen Stahlplatte ...
aufgepreßt werden können","Druckmaschine, Dessin, Möbel",Wien,1834,08.07.1834
1379,Steimlen,Christoph,,,,,"Beschreibung der ... Erfindung, ..., die für Kastenbeschläge gebräuchlichen Knöpfe nicht mehr aus
zwey oder mehreren gegossenen theilen zu erzeugen, sondern in einem einzigen Stücke ..., daß
solche mittelst einer eigenen Maschiene gebogen, glatt oder mit jeder beliebigen Verzierung
versehen und sodann die Handringe eingehängt werden können ...",Beschlag,Wien,1834,25.06.1834
1380,Wurm,Franz Xaver,,,,,"Beschreibung der ... Erfindung einer neuen Kopp-Schrott- und Mahlmühle, und einen zu deren
Betreibung oder zu sonstigen Zwecken erfundenen Pferdegetriebes ...","Tretrad, Getriebe, Mühle",Wien,1832,01.07.1832
1381,Brauer,Christian,,,,,"Beschreibung der ... Erfindung, ..., in den Papierfabriken die Papiermasse vor der Verfertigung des
Papiers aus einem Pump- oder Preßwerke zu reinigen und zu verfeinern so zwar, daß beim
Schreiben die Tinte an den radirten Stellen des Papirs fließe und durchschlage, ganz beseitiget
wird, ...",Papier,Hohenelbe,1833,20.04.1833
1382,Jaeckel,Joseph,,,,,"Beschreibung der ... Erfindung, ..., daß er eine Maße unter dem Namen venetianischer Fluß zur
Verfertigung aller Gattungen Steine und Perlen erzeuge","Kunstedelstein, Perle",Wien,1835,24.05.1835
1383,Filz,Johann,,,,,"Bereitungs-Methode des neu chemisch zusammen gesetzten aromathischen Wassers; für die
verschiedenartige Anwendung am Toilette bestimt, und von gefertigten mit dem Nahmen Pariser
Damenconservationswasser bezeichnet",Parfüm,Wien,1831,16.07.1831
1384,Koehler,Heinrich Wilhelm,,,,,"Beschreibung der ... Entdeckung u. Verbesserung, ..., aus thierischen Knochen aller Art ein Mehl
als ein chemisches Düngungsmittel zu bereiten, ...","Knochenmehl, Kunstdünger",Tirchlowitz,1831,01.02.1831
1385,Guenther,Ignaz,,,,,"Beschreibung der ... Entdekung eines neuen Schlemmapparates, welche ... darin bestehe: 1. Die
sämtlichen Satzmehlwässer ... auf einmal zur Aufbereitung aufzunehmen ... 2. die
aufgenommenen Pochsatzmehlwässer ... zu konzentrieren ...",Schlemmapparat,Eule,1828,01.03.1828
1386,Lafite,Friedrich,Weber,Franz Xaver,,,"Beschreibung und Zusammensetzung des [Holzimprägnier]Apparates. Beschreibung und
Behandlung des weichen Holzes. Behandlung des harten Holzes","Holz, Imprägnierung, Dampfkessel",Graz,1827,22.10.1827
1387,List,Klemens,,,,,Beschreibung des Gas Apparates,Leuchtgas,Wien,1835,18.09.1835
1388,Schkrohowsky,Andreas,,,,,"Beschreibung der ... Verbesserungen der privilegirten Degartirmaschine des aus Teplitz gebürtigen
Israelitten Samuel Morawetz durch meine dadurch neu entstandene Tuch-Reinigungs- und
Appretirungsmaschine ...","Dekatiermaschine, Appreturmaschine",Prag,1826,18.05.1826
1389,Kranke,Friedrich,Peroutka,Johann,,,"Beschreibung einer neuen Erfindung und Verbesserung zur Erzeugung Verfeinerten und
verbesserten Hafnergeschirre durch die in Steyermark bey Voitsberg befindlichen Tonarthen","Tonwaren, Töpferofen, Glasur,
Schlämmapparat",Voitsberg,1829,18.09.1829
1390,Schmidt,Karl,,,,,"Beschreibung der ... Erfindung, ...: daß er auf Schildkrötschalen und Horn alle Metale vorzüglich
Gold und Silber dann Perlmutter in allen Farben nach jeder Zeichnung aller Art einpreßt","Hornbearbeitung, Dessin, Galanterie",Wien,1836,13.04.1836
1391,Levasseur,Charles Ferd.,,,,,Description des appareils des fosses mobiles indodores,"Abort, Wagen, Zimmerklosett,
Düngergewinnung",Wien,1820,23.08.1820
1392,Hellmer,Ignaz,,,,,"Beschreibung der ... Verbesserung in der Erzeugung von Wachs-Wachsplatirten-Spermaceti und
anderen Kerzen von jedem dazu dienlichen Materiale in jeder beliebigen Form und Größe durch
Anwendung von ganz besonders zubereiteten Dochten, ...","Kerze, Docht, Unschlitt, Wachs",Wien,1835,30.06.1835
1393,Haintz,Joseph,Muck,Joseph,,,"Beschreibung der Erfindung: Die Hasenhaare oder Schafwolle behufs der Filzung mit einer neu
erfundenen Flüssigkeit zu beitzen und dem Stoff eine solche Qualität zu geben, daß die daraus
verfertigten Hüte, Kappen und sonstigen Kleidungsstücke geschmeidiger als die bisherigen sind","Hasenbalg, Filz, Hut, Kappe",Prag,1830,29.06.1830
1394,Nowotny,Josef,,,,,"Beschreibung der Erfindung neuer Seife und Lichtererzeugungs- und Unschlittschmelzungs
Apparate, wie auch der Verbesserung der Erzeugung der Seife insbesondere zur Verhütung des
widrigen Seifensiedergeruchs","Seifensiederei, Unschlitt",Prag,1834,16.06.1834
1395,Fritz,Franz,,,,,"Umständliche Beschreibung der ...Verbesserung, ..., daß alle Männerkleider mit Ausnahme der
Westen mit einfachen Nähten, wo der Stoff bloß übereinander gelegt wird, verfertigt werden, ...","Kleidung, Schneiderei",Wien,1835,02.03.1835
1396,List,Klemens,,,,,Gas - Aperat,Leuchtgas,Wien,1836,
1397,Schuetz,Leopold,,,,,"Beschreibung der ... Erfindung und Verbesserung, ..., daß: die theils neu erfundene, theils
verbeßerte Erzeugungsmanipulation, aus gedörrten Saitlingen Darmsaiten zu fabriciren, ...,","Darmsaite, Saitling",Wien,1832,18.04.1832
1398,Machts,Franz,,,,,Beschreibung der ... Verbesserung von Uhrblattern aus gewalzten dehnbaren Metallblech-Abfällen,"Zifferblatt, Uhrmacher",Wien,1834,06.02.1834
1399,Machts,Franz,,,,,"Beschreibung, unsere neue Art Oehlleuchter zu erzeugen, in welchen das Oehl durch Anwendung
eines Gewichtes bis zum Brennpunkte in die Höhe getrieben wird, ...",Leuchter,Wien,1834,21.08.1834
1400,Kramerius,Wenzel,Seeling,Franz,,,"Beschreibung einer neuen Verbesserung in der bisher gewohnten Publikationsweise von aller Art
Bekanntmachungen, unter Benennung der calator, ..., daß sowohl Privatpersonen als alle
Unterbehörden ihre zur öffentlichen Bekanntmachung geeigneten mit der Druckbewilligung
versehenen Anzeigen ... in diesen zum Anschlagen ... bestimmten Blatte bekannt gemacht
erhalten",Plakatierungstafel,Wien,1835,27.06.1835
1401,Schenk,Alois,,,,,"Mathematische Zeichnung und Beschreibung der Erfindung ... in der Verfertigung der Pendil-
Monat-Uhren ...",Pendeluhr,Wien,1835,23.08.1835
1402,Froehlich,Anton,Froehlich,Karl,,,"Beschreibung der neuen Entdeckung und Verbesserung in der Roth- und Weis-Gerberey alle
Sorten von Haute und starke Wollstoffe auf eine neue noch nicht bekannte Art höchst einfach und
schnelle zu gerben, wie ein zu jedem Gebrauch dauerhaftes Leder verschiedener Gattung zu
erzeugen","Gerberei, Leder, Lederstoff",Kolin,1835,14.03.1835
1403,Kauffmann,Karl,,,,,"Beschreibung der Erfindung einer neuen Blasmaschine, welche die bisherigen Blasbälge ganz
entbehrlich macht, ..., daß eine solche ... Maschine immerwährend fortbläßt, ...",Gebläse,Wien,1834,01.08.1834
1404,Hoefel,Blasius,,,,,"Beschreibung der Behandlung zur Erfindung aus gestochenen Kupferstichplatten, wie auch aus
Abdrücken von Kupfer und Stahlplatten, ganz neue Druckplatten von Zinn oder Kupfer im
gleichen, oder verkleinerten und vergrößerten Maßstabe von beliebigem Formathe zu verfertigen,
wie auch die anwendung dieses Verfahrens auf runde Körper","Druckplatte, Autotypie",Wr.Neustadt,1832,18.12.1832
1405,Zang,Franz,,,,,"Versiegelte Beschreibung ... auf meine neu erfundene Oehllampe, ...",Lampe,Wien,1836,19.07.1836
1406,Hueber,Franz Anton,,,,,Beschreibung der Manipulation der heute nachgesuchten Patent-Beinknöpfe,"Knopf, Dessin",Absam,1836,01.03.1836
1407,Butscheck,Bernard,,,,,"Neue Erfindung: Die Filzhüte zu peitzen, und durch das Verfahren der Peitze den Hüten
dauerhafte, schöne und glanzhältige Schwärze zu geben","Hut, Färben/Hut, Schwarz",Brünn,1833,03.12.1833
1408,Fischer,Friedrich,,,,,"Recepte meines Geheimnisses meiner neuen Verbesserung, aller Gattungen Leb- oder
Pfefferküchler Waare, braun wie auch weis, in allen Formen und Gestalten, und einen sehr guten
Meth zu verfertigen, ...","Lebkuchen, Met",Wien,1826,19.08.1826
1409,Winkelmann,Nikolaus,,,,,"Mechanismus auf die Vervollkommnung und Verbesserung in der Sonn- und Regenschirm
Fabrikation, ...","Sonnenschirm, Regenschirm",Wien,1836,24.06.1836
1410,Alvera,Andrea,Perottini,Giovanni,,,"Descrizione di un nuovo metodo per trasportare qualsiasi incisione in rame nelle stoviglie di
qualunque forma e grandezza [Kupferstiche auf Töpferwaren übertragen]","Tonwaren, Abziehbild",Vicenza,1835,30.06.1835
1411,Dobinger,Johann,Gallaseck,Georg,,,"Beschreibung der Entdeckung: Alle was nur immer für Nahmen habende Kunstgegenstände in alle
und zugleich mehreren Farben, auf oder mit aufgetragenem Gold, Silber oder Lack, auf allen
Papiersorten, Stoffen, sowie auch auf Leder, Holz etc. heutrelief und Pasrelief erzeugt werden, als
Portefeuillies und Umschläge",Reliefdruck,Wien,1835,28.02.1835
1412,Wagner,Anton,,,,,Beschreibung zur Verfertigung des Köllnerwassers,Parfüm,Wien,1829,22.12.1829
1413,Wagner,Anton,,,,,Beschreibung der Zündhölzchen-Massa,Zündholz,Wien,1830,05.02.1830
1414,Hepp,Friedrich,Stribel,Eduard,,,"Zeigen hiemit ...: eine Verbesserung an der SchawlsAusschneidmaschine erfunden zu haben, ...,
daß a) alle Gattungen Tuch darauf geschoren und alle Arten Schawls ausgeschnitten werden, b)
daß dies mit Zeit, und c) Kostenersparung, d) mit Sicherheit der Maschine gegen Löcher
einschneiden und e) mit dem Vortheil jeder ... Bewegkraft geschehen kann","Tuchschere, Schal",Wien,1836,05.08.1836
1415,Gattinoni,Antonio,,,,,Spiegazione del disegno di un nuovo aspo per incannare la Seta [Haspel zum Aufspulen der Seide],"Seidenhaspel, Spulmaschine,
Seidenkokon",Milano,1836,06.04.1836
1416,Nolze,Sidon,,,,,Die Erfindung der Verbesserung der Meerschaum-Tabakspfeifen ...,Tabakspfeife,Wien,1834,29.01.1834
1417,Schildt,Ernst Wilhelm,,,,,"Beschreibung einer ... neue Erfindung von Luftheitz Oefen, von Eisenblech wie auch von Gußeisen
...",Ofen,Wien,1835,28.10.1835
1418,Hueber,Franz,,,,,"... hat ... sein ... Anbringen ... überreicht, nach welchem angeblich das bisher in Dampfbrand-
Weinbrennereyen unbenützte Innere der Dampfkessel benützt, und hiedurch mittels seiner
Vorrichtung ... das doppelte Quantum Kartofeln oder Getreide auf Brandwein, und der Nachlauf
auf Essig zu verarbeiten in Stande ist; ...","Branntwein, Essig,
Dampfkessel,Destillierapparat",Wien,1821,05.02.1821
1419,Toepper,Andreas,,,,,Beschreibung des [Blech]-Walzwerkes,Walzwerk,Wien,1821,24.02.1821
1420,Bauer,Joseph,,,,,"Beschreibung der ... Verbesserten von wachsplattirten Unschlittkerzen, ...","Unschlitt, Kerze, Wachs",Wien,1821,15.03.1821
1421,Bruni,Agostino,Bruni,Giovanni,,,[Maschine zum Abhaspeln der Seidenkokons],"Seidenkokon, Seidenhaspel",Como,1821,
1422,Burka,Alois,Burka,Karl,Burka,Anton,"Treuliche Angabe aus allen Gattungen Feldfrüchte, wie auch Knollengewächsen, aus ein und
derselben Frucht, Gährungsmittel /:Hefenteig:/, Brandwein, Farbenessig, Eisenpeitze, nebst
Mastungsfutter für jeder Art Vieh, mit den besten Erfolgen zu erzeugen","Hefe, Branntwein, Färbeessig,
Eisenbeize, Futter",Prag,1821,20.06.1821
1423,Cochelet,Adrian Ludwig R.v.,,,,,"Helicoidische ZwercheTuchscherer - Maschine oder Anwendung der heliocoidischen Kräfte zu dem
queren Scheren","Tuchschere, Helocoidkraft",Wien,1821,16.08.1821
1424,Origone,Giorgio,,,,,Metodo di Preparare la Paglia per la formazione Della Carta [Strohpapier],Strohpapier,Milano,1821,26.09.1821
1425,Bernhard,Anton,,,,,"Genaue Beschreibung der ... erfundenen zweyerley Arten Stromkraftsräder /:unterschlächtige
Wasser Räder:/ welche beyde ... darinne übereinstimmen: daß beyde bewegliche Taufeln haben,
und nach Erforderniß der Kraft und vorhandenen Tiefe des Stromes die Größe ihrer Taufeln und
deren Eintauchung willkührlich bestimt werden kann","Wasserrad, Schiffsantrieb",Neutra,1821,26.10.1821
1426,Peschier,Ludwig R.v.,Sterz,Vinzenz,,,Beschreibung über die Zeichnung der neu erfundenen Franzensthaler Papiererzeugungsmaschine,Papiermaschine,Franzensthal,1820,24.05.1820
1427,Sieber,Cristoforo,,,,,Descrizione dell'invenzione che ... consiste nel fabbricare tubi metallici diversi ... [Metallröhren],Rohr,Milano,1820,09.08.1820
1428,Blangy,Luigi Enrico de,,,,,"Descrizione dell'invenzione che ... consiste in un nuovo metodo per la fabbricazione di candele di
una particolare composizione da Lui chiamate Bougies Cyrogenes ... [Kerzen unter der ezeichnung
Bougies Cyrogenes]",Kerze,Milano,1829,04.09.1829
1429,Manzoni,Desiderio,Taccani,Francesco,,,Descrizione e Disegno di un nuovo Brillatojo da Riso,Reismühle,Milano,1830,10.12.1830
1430,Brey,Gaetano,,,,,"Disegni e Descrizione della nuova Scoperta denominata - Nuova Illuminazione a gaz senza
Gazometro, che ... consiste nell'eseguire un illuminazione a gaz senza l'uso del Gazometro, ne del
Carbone di terra ... [Gasbeleuchtung ohne Gasometer]",Leuchtgas,Milano,1831,26.05.1831
1431,Brey,Gaetano,,,,,Descrizione dei Bagni di Sicurezza a Quadrante [Badewannen mit Quadranten-Thermometer],"Bad, Thermometer",Milano,1831,24.06.1831
1432,Ratti,Pasquale,,,,,"Descrizione dei perfezionamenti ... al nuovo Apparecchio economico per la filatura della Seta ...
[Seidenspinnmaschine]","Spinnmaschine, Seide",Milano,1831,16.09.1831
1434,Scheller,Johann Andreas,,,,,"Beschreibung der ... Erfindung, ..., daß auf einen gewöhnlichen Kettenstuhl wo man Pitinè und
Andalage macht und auf welcher hernach die Desseins nur darauf gedruckt, und die sich allzeit
mittelst Putzen oder Waschen verlieren, jedoch die von ihm erfundene Maschine, alle Dessein als
ganz eingearbeiteter so verfertiget werden können","Kettenstuhl, Petinetmaschine, Dessin",Wien,1821,06.06.1821
1435,Longo,Marino,,,,,"Descrizione della nuova invenzione ... al nuovo metodo di rottondare le Contarie, ed allo Svillupo
dei loro colori [Glasperlen]","Glasperle, Schmelzofen",Venezia,1821,16.04.1821
1437,Koblenik,Franz,,,,,"Beschreibung des von mir erfundenen Mechanischen Windfanges zur regelmäßigen
Rauchableitung","Champion, Kaminaufsatz, Rauchabzug",Wien,1830,12.03.1830
1438,Fleisch,Joseph,,,,,"Beschreibung der ... Erfindung in Verbesserung der bisher aus Seide oder Gold und Silber
verfertigten für das Löbliche k.k.Militair gehörigen Infanterie, Grenadier und Husaren Officirs- und
Subaltern-Czako-Rosen","Tschako, Abzeichen, Militärisches",Wien,1834,20.09.1834
1439,Bryschowitz,Anna,,,,,"Beschreibung der ... Erfindung, ..., daß die Männerkrawatten mittels einer auf längere Uibung
basirten Methode an Elastizität, und geschmackvoller Form gewinnen, ...",Krawatte,Prag,1834,21.07.1834
