PrivRegNr	Name1	Vorname1	Name2	Vorname2	Name3	Vorname3	Titel	Schlagworte	Ort	Jahr	Einreichdatu	lat	long
559	Hoerschelmann	Ernst Christian	NA	NA	NA	NA	Beschreibung der ... erfundenen Drehpumpe	Pumpe	Wien	1829	01.11.1829	48.2080696	16.3713095
561	Seregni	Ambrogio	NA	NA	NA	NA	"Descrizione dell'invenzione, che ... consiste nel fabbricare una stoffa di seta, che puo simulare i
panni-Lana tanto rasi quanto col pelo volgarmente detti peluzzi, la quale serve per fare abiti di
ogni sorta, e per fare cappelli, stanteche invece di quastarse e logorarsi all'acqua acquista anzi
maggior Lustro, e bellezza"	Seidenstoff	Milano	1824	14.02.1824	45.468503	9.1824027
562	Rosa	Giovanni	NA	NA	NA	NA	"Descrizione dell'invenzione che ... consiste nell'aver applicata la macchina à la Jacquart per le
stoffe di seta ai lavori di filo, ..."	"Seidenstoff, Webstuhl,
Jacquardmaschine"	Brescia	1823	24.09.1823	45.5415526	10.2118019
563	Gillier	Antonio	NA	NA	NA	NA	"Descrizione della scoperta che ... consiste ... in telari atti alla fabbricazione di nostri velutini all'uso
di Francia"	Samtband, Bandstuhl	Milano	1821	18.12.1821	45.468503	9.1824027
564	Bosiz	Felice	NA	NA	NA	NA	"Descrizione della Scoperta che ... consiste nel fabbricare un olio di tre qualità vantaggioso nelle
operazioni della pittura ..."	Oel/Malerei, Oelfarbe	Milano	1823	31.12.1823	45.468503	9.1824027
565	Roux	Jaquet	NA	NA	NA	NA	"Descrizione della Scoperta ... della Macchina denominata Lifoge à la Jacard, la quale consiste in
sostanza in Leggere ... [Jacquardmaschine]"	Jacquardmaschine, Webstuhl, Dessin	Milano	1822	08.02.1822	45.468503	9.1824027
566	Richard	Giovanni Ippolito	NA	NA	NA	NA	Descrizione della Scoperta ... Macchina della Jaquard tanto con un Cilindro che con due, ...	Jacquardmaschine, Webstuhl	Milano	1822	02.01.1822	45.468503	9.1824027
567	Aldini	Giovanni cavaliere	NA	NA	NA	NA	"Descrizione dell' invenzione che ... consiste in nuovo metodo per segare i marmi, e le pietre duri
tanto a mano quanto ad acqua ..."	Steinsäge, Marmorplatte	Milano	1823	02.08.1823	45.468503	9.1824027
568	Conti	Pietro	NA	NA	NA	NA	"Descrizione del Processo per la formazione dell'Estratto da cavarsi dalla Pianto Scotano (Rhus
cotinus Linnei), volgarmente nominata dagli Italiani Sommaco, Rosolo, e Fogliarolo"	Sumach, Gerberei, Färben	Verona	1825	11.07.1825	45.4383659	10.9917136
569	Praschinger	Benedikt	Praschinger	Michael	NA	NA	Geheimniß der von uns verbesserten Roßhaarzeuge	Roßhaarzeug, Färben	Wien	1827	04.01.1827	48.2080696	16.3713095
570	NA	Marino	NA	NA	NA	NA	Descrizione ... per la nuova invenzione d'indorare, ed inargentare le margherite di vetro	Glasperle, Vergolden, Versilbern	Padova	1828	26.07.1828	45.4105029	11.8782071
571	Besetzny	Franz	NA	NA	NA	NA	Beschreibung des neu erfundenen Apparats des Bier mit mehreren Vortheilen zu Bräuen	Bier, Brauapparat	Wien	1823	03.03.1823	48.2080696	16.3713095
572	Zuckrigl	Johann	NA	NA	NA	NA	Bereitung der Caffe Essenz	Kaffee	Wien	1823	23.05.1823	48.2080696	16.3713095
573	Schreiner	Joseph	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche ... darin besteht: Es ist eine neue Art von Getränk unter der
Benennung Wiener Punsch: ..."	Punsch	Wien	1823	10.04.1823	48.2080696	16.3713095
574	Haehnisch	Johann Georg	NA	NA	NA	NA	"Beschreibung des neu verbesserten Brandweinapparats. Beschreibung der Sago-Fabrikation.
Beschreibung der Essig-Fabrikation."	"Branntwein, Destillierapparat, Sago,
Essig"	Wien	1823	21.05.1823	48.2080696	16.3713095
575	Lieberger	Julius Gottlieb	NA	NA	NA	NA	Beschreibung des ... erfundenen Caffe Surogates ...	Kaffee, Mais	Wien	1823	30.04.1823	48.2080696	16.3713095
576	Bruckmann	Ferdinand	NA	NA	NA	NA	Beschreibung meines neu erfundenen Gesundheits-Punsches	Punsch	Wien	1823	15.09.1823	48.2080696	16.3713095
577	Kammerer	Johann Daniel	NA	NA	NA	NA	Beschreibung der ... verbesserten Fleischselcherey nach Lioner Methode ...	Fleisch, Selchen	Wien	1823	26.08.1823	48.2080696	16.3713095
578	Ludwig	Heinrich	NA	NA	NA	NA	Gewissenhafte Zubereitungsart des unter der Benennung Carolinen Cafè erzeugten Cafè Surogats	Kaffee	Wien	1824	13.01.1824	48.2080696	16.3713095
579	Gloos	Josepha	NA	NA	NA	NA	Verfahrungsart meines Kaffee Sourogat /: Deutscher Kaffee genannt :/	Kaffee	Wien	1823	03.11.1823	48.2080696	16.3713095
580	Schwarz	Moritz	NA	NA	NA	NA	"Beschreibung der ... Erfindung allerley Sorten Hamburger Lebkuchens, - wie auch allerley Sorten
Hamburger Med, wie auch allerley Sorten Essig ..."	Lebkuchen, Met, Essig	Wien	1824	30.01.1824	48.2080696	16.3713095
581	Schmidt	Johann Friedrich	NA	NA	NA	NA	Genaue Beschreibung der Entdeckung ... Zur Erzeugung der französischen Senftsorten ...	Senf	Wien	1825	04.02.1825	48.2080696	16.3713095
582	Ludwig	Heinrich	NA	NA	NA	NA	Specielle Beschreibung der Bereitungsart des Burgunder Biers	Bier, Rübe	Wien	1825	02.05.1825	48.2080696	16.3713095
583	Selka	Vinzenz Jakob	NA	NA	NA	NA	"Beschreibung der ... Verbesserung, welche ... darin besteht: daß er alle Gattungen Getränke,
welche gekocht, oder distillirt werden, auf zinnernen Kesseln ... zu verfertigen im Stande ist"	Branntwein, Zinnkessel	Wien	1823	08.03.1823	48.2080696	16.3713095
584	Ullmann	Jonathan	NA	NA	NA	NA	"Beschreibung der ... Entdeckung, welche ... darin besteht, daß er Siegellack von den
verschiedensten Farben ... verfertiget"	Siegellack, Färben/Siegellack	Wien	1828	24.10.1828	48.2080696	16.3713095
585	Strixner	Johann	NA	NA	NA	NA	"Beschreibung der ... Erfindung eines neuen sowohl zu gemeinen chemischem Pulver, als auch zu
chemischen Kapseln anwendbaren Feuerschlosses"	Gewehrschloß	Wien	1825	22.07.1825	48.2080696	16.3713095
586	Eberl	Joseph	NA	NA	NA	NA	"Beschreibung nachbenannter, ... zum Gebrauch der Percussions Gewehre welche gegenwärtig mit
Kapseln oder Hüttchen abgefeuert werden alleinig und zu allererst erfundenen und bereits
verfertigten mehreren Arten von dem so zu nennenden Kapselstecker"	Gewehrschloß	Wien	1825	21.12.1825	48.2080696	16.3713095
587	Becker	Heinrich	NA	NA	NA	NA	"Beschreibung der ... Erfindung, die ... darin besteht, daß Filzhüte durch eine Materie die nöthige
Steife erhalten, ..."	Hut	Wien	1825	21.07.1825	48.2080696	16.3713095
588	Kotoczek	Wenzel	NA	NA	NA	NA	Beschreibung eines ... neu erfundenen Sparrherdes	Kochherd	Wien	1825	14.09.1825	48.2080696	16.3713095
589	Mayerhofer	Joseph	NA	NA	NA	NA	Beschreibung der englischen Stiefeleisen	Schuhabsatz,Stiefelabsatz	Wien	1826	29.05.1826	48.2080696	16.3713095
590	Ganahl	Joseph v.	NA	NA	NA	NA	Die Art und Weise, Eisen in Stahl zu verwandeln, ...	Stahl	Bozen	1825	20.12.1825	46.4949259	11.3402543
591	Schmidt	Karl	Tanzwohl	Johann	NA	NA	"zeigen an, eine neue Erfindung gemacht zu haben, welche darin besteht: Durch ein Triebwerk
mittelst Pferde oder Wasserkraft geleitet, alle Gattungen von Perlmutter Galanterie Waaren, mit
Gold, Silber, Bronz, und Stahlverzierung zu verfertigen"	Galanterie, Getriebe	Wien	1826	23.06.1826	48.2080696	16.3713095
592	Ganahl	Joseph v.	NA	NA	NA	NA	"Beschreibung der ... Verbesserung, welche ... darin besteht: 1.) Haare und Wolle oder andere
Materialien, woraus Hüte verfertigt werden, ... zuzubereiten; 2.) mittels einer
Aufwindungsmaschine ... zwey Hut-Körper durch eine einzige Operazion zu bilden; 3.) mittels
eines Rades ... Hüte ... zu färben, ..."	Hut, Aufwinder	London	1826	26.02.1826	51.5072178	-0.1275862
593	Ganahl	Joseph v.	NA	NA	NA	NA	Beschreibung der ... Verbesserungen im Dampfmaschinen-Wesen, ...	Dampfmaschine, Dampfkessel	Wien	1826	22.05.1826	48.2080696	16.3713095
594	Schoenfeld	Jakob R.v.	Tedeschi	Anton	NA	NA	"Beschreibung der Verbesserung ... Erfindung, Wäsche aller Art, dann Wolle, mittelst Anwendung
von Maschinen vollkommen zu reinigen, ..."	Waschmaschine, Wollwäsche	Wien	1825	05.09.1825	48.2080696	16.3713095
595	Gonzallese	Emanuel	NA	NA	NA	NA	"Beschreibung der ... Erfindung, nämlich Ueberschuhe /Galosche:/ und Schuhe mit ganz, hölzerne,
biegsame, bewegliche Sohlen zu verfertigen, ..."	"Schuh, Sandalen, Schuhsohle,
Ueberschuh, Galosche"	Wien	1825	19.11.1825	48.2080696	16.3713095
596	Demuth	Karl	NA	NA	NA	NA	"Beschreibung einer neuen Entdeckung, von einer Nachtlampen ohne Tocht, wie auch alle anderen
Lampen, auf die selbe Art zu verfertigen"	Lampe	Wien	1827	22.08.1827	48.2080696	16.3713095
597	Ruehm	Wilhelm	NA	NA	NA	NA	"Beschreibung der ... Verbesserung, in Hinsicht der schon bestehenden Nachtlampen ohne Docht,
..."	Lampe	Wien	1827	31.08.1827	48.2080696	16.3713095
598	Loehner	August	NA	NA	NA	NA	"Beschreibung der ... neu erfundenen mechanischen Räderschuhen deren Bestandtheile
nachfolgend angegeben, und in der hier angschloßenen Zeichnung in Numerischer Ordnung
bezeichnet sind"	Rollschuh	Wien	1825	12.09.1825	48.2080696	16.3713095
599	Winkelmann	Nikolaus sen.	Winkelmann	Nikolaus jun.	NA	NA	"Beschreibung der Erfindung von Composition, Chaniere und Spiteln oder Beschlägen oben auf
Fischbeiner der Sonn- und Regenschirme zu giessen"	Regenschirm, Sonnenschirm	Wien	1825	08.02.1825	48.2080696	16.3713095
600	Hardtmuth	Karl	Hardtmuth	Ludwig	NA	NA	"Beschreibung der Erfindung, welche darin bestehet: Eine Mengung von Tiegel- oder Lehmerde
und Sand durch Zugabe anderer Stoffe in verhältnismäßig geringer Quantität vollkommen
feuerfest zu machen"	Schamottestein	Wien	1829	23.12.1829	48.2080696	16.3713095
601	Lott	Heinrich	NA	NA	NA	NA	statt des bisherigen Tischlerleimes zu verfertigen, ...	Furnieren	Wien	1825	16.12.1825	48.2080696	16.3713095
602	Abeles	Henoch	Kohn	Samuel	NA	NA	"Beschreibung über die neuen Erfindungsmethode aller Gattung Tuch zuzurichten dass dasselbe
für Schoben und Verlagerung geschützt wird"	"Schnittware/Lagerung -
Lagerung/Schnittware"	Wien	1824	21.06.1824	48.2080696	16.3713095
603	Hoegler	Franz	NA	NA	NA	NA	"Beschreibung des ... erfundenen Mechanischen Meß und Eintheilungs Rade um Flächen und
Gebirgsräume in der Länge und Breite, und ihrem Umfange mit einer außerordentlichen
Schnelligkeit und Bestimmtheit meßen, und Eintheilung machen zu können"	Meßrad	Wien	1831	01.04.1831	48.2080696	16.3713095
604	Reinscher	Mathias	NA	NA	NA	NA	Beschreibung und Zeichnung einer neu erfundenen Kreissäge, ...	Kreissäge	Wien	1823	13.05.1823	48.2080696	16.3713095
605	Reinscher	Mathias	Schoenfeld	Ignaz R.v.	NA	NA	"Verbesserungen an den bereits exclusive privilegirten Holzzerkleinerungs-Maschinen des Vereins
Phorus"	Holzzerkleinerung, Brennholz	Wien	1823	30.07.1823	48.2080696	16.3713095
606	Girardoni	Franz	NA	NA	NA	NA	Die verbesserten Druk-Walzen sind auf folgende Art gemacht ...	Spinnmaschine, Druckwalze	Wien	1826	18.03.1826	48.2080696	16.3713095
607	Girardoni	Franz	NA	NA	NA	NA	Beschreibung der Verbesserung auf Water-Twist	Spinnmaschine	Münchendorf	1826	15.05.1826	48.0296441	16.3793614
608	Popp	Alexander	Wunderer	Ignaz	NA	NA	"... bitten ... ihnen auf die Erfindung, daß man bey Tag und bey Nacht, mit der größten
Zuverläßigkeit den Ort, wo eine Feuersbrunst entstanden ist, gleich bestimmen könne, ein
Privilegium ... zu bewilligen"	Orientierung, Pyroskop	Wien	1829	14.09.1829	48.2080696	16.3713095
609	Winkler	Wolf	NA	NA	NA	NA	Beschreibung zur Verbesserung des Kochsalzes	Kochsalz	Wien	1825	06.12.1825	48.2080696	16.3713095
610	Girard	Philipp Heinrich	NA	NA	NA	NA	Beschreibung verschiedener Verbesserungen an den Flachsspinn-Maschinen	Spinnmaschine, Flachs	Wien	1825	10.10.1825	48.2080696	16.3713095
611	Witteck	Johann Christian	NA	NA	NA	NA	"Beschreibung wie der Lehm oder Thon behandelt werden soll, um darauß leichte Ziegelwaare zu
erhalten"	Ziegel, Ton	Prag	1823	23.08.1823	50.0755381	14.4378005
612	Ebert	Karl Friedrich	NA	NA	NA	NA	... zeigt ... an, eine neue Verbesserung zur Erzeugung der Filz und Seidenhüte gemacht zu haben, ...	Hut	Wien	1829	27.01.1829	48.2080696	16.3713095
613	Ebert	Karl Friedrich	NA	NA	NA	NA	Beschreibung der ... Verbesserung ... darin bestehet: Eine Zurichtung der Steifung der Filzhüte, ...	Hut	Wien	1825	22.11.1825	48.2080696	16.3713095
614	Koenigshofer	Karl	Lafite	Frederic	NA	NA	"Beschreibung über die Erzeugung jeder Gattung von Essig aus inländischen Stoffen durch eine
eigene Behandlung und besondere Vorrichtung der Gährgefässe, ..."	Essig, Gärapparat	Graz	1823	07.01.1823	47.0678961	15.4417305
615	Da Rio	Franz	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche ... darin besteht, daß in einem Zeitraume von einer Stunde,
oder auf einem Joche, in einer ebenen, oder sanft abdachenden Lage liegenden Wiese entweder
durch den schon bekannten Heuwender, oder durch Menschenhände ... als Heu schnell ... in
Haufen gebracht werde ..."	Heuweunder, Häufler/Heu	Wildalpe	1823	12.07.1823	47.7545223	15.4603362
616	Withalm	Joseph Benedikt	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche ... darin besteht, 1. Thüren, Fenster, Jalousien, hölzerne und
eiserne Geländer, etc. ... Sonnenfirniß-Farben überziehen zu lassen, ... 2. Feuersichere
Rauchkammern nach wästpfählischer Weiße zu erbauen ..."	Firnis, Selchen	Graz	1824	09.06.1824	47.0678961	15.4417305
617	Gasteiger	Anton	NA	NA	NA	NA	Beschreibung der ... erfundenen Kaffee-Dampfdruk-Maschine	Kaffeemaschine	Graz	1824	17.07.1824	47.0678961	15.4417305
618	Mayer	Franz	NA	NA	NA	NA	"Beschreibung uiber die ... Erfindung, alle Gattungen Männer- und Fraunehüte, dann Kapeln, u.
Strickkörbchen ganz aus spanischem Rohre zu erzeugen"	Hut, Kappe, Korb, Rohr/Spanisches	Graz	1826	26.04.1826	47.0678961	15.4417305
619	Jaekle	Bernhard	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche ... darin besteht, daß mittelst ganz neu eingerichtete
Schneid- und Drehmaschienen alle Gattungen Getriebe von ... Stahl ... verfertigt werden können,
... So ebenfalls die Uhrräder, deren ein Dutzend auch Mehrere, auf einmal eingeschnitten werden
können; ..."	"Zahnrad, Räderschneidemaschine,
Fräsmaschine/Metall"	Graz	1825	30.09.1825	47.0678961	15.4417305
620	Dietrich	Anton	NA	NA	NA	NA	"... Beschreibung einer ... Erfindung und Verbesserung, welche ... darin bestehet, mittelst
Maschinen und Drahtzugeisen Hüthe aus spanischen Glanz-Rohr mit Fischbein oder in sich selbst
eingeflochten, zu verfertigen, ..."	Hut, Rohr, Spanisches, Fischbein	Graz	1826	07.10.1826	47.0678961	15.4417305
621	Koenigsbrunn	Alois Frh.v.	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche ... darin besteht: Mittelst ein und Doppelbrau Apparates,
Bier oder Branntweingut zu bereiten, und aus letzerem mittelst eines einfachen Destillirapparates
ein dem Franzbrandwein ähnliches Produkt, ... oder auch aromatischen Branntwein, bey
einmaliger Destillation zu bereiten"	"Brauapparat, Bier, Destillierapparat,
Branntwein, Franzbranntwein"	Graz	1824	01.03.1824	47.0678961	15.4417305
622	Koenigshofer	Karl	Lafite	Frederic	NA	NA	"Beschreibung der neuen Entdeckung, aus Weinlager (:Gleger:) ohne Beymischung fremdartiger
Stoffe den schärfsten Weinessig von vorzüglicher Klarheit durch Destillation zu fabrizieren"	Essig, Weinlager, Destillierapparat	Graz	1821	06.06.1821	47.0678961	15.4417305
623	Lafite	Frederic	NA	NA	NA	NA	Beschreibung einer Kaffeemaschine	Kaffeemaschine	Graz	1822	01.03.1822	47.0678961	15.4417305
624	Withalm	Joseph Benedikt	NA	NA	NA	NA	"Genaue Beschreibung der Verfahrungsweise zur Erzeugniß eines Trocknungs-Firniß-Lassur für
feuchte Mauerwände, ..."	"Mauer, Trockenlegung,
Feuchtigkeitsschutz"	Graz	1822	12.08.1822	47.0678961	15.4417305
625	Koenigsbrunn	Alois Frh.v.	Romershausen	Ellard	NA	NA	Beschreibung der pneumatischen Maschine	Gebläse, Luftpumpe	Graz	1822	03.09.1822	47.0678961	15.4417305
626	Koenigsbrunn	Alois Frh.v.	Romershausen	Elard	NA	NA	Beschreibung der Dampfpumpe	Dampfpumpe, Pumpe	Graz	1822	03.09.1822	47.0678961	15.4417305
627	Steinhofer	Anton	NA	NA	NA	NA	"Beschreibung der Art und Weise, wie allgemeiner frischer Mauer Mörtl auf harte Gegenstände,
festhalten gemacht, und das Eintringen jeder Nässe abgestellt werden könne"	"Mauer, Mörtel, Lack, Trockenlegung,
Feuchtigkeitsschutz"	Graz	1823	24.04.1823	47.0678961	15.4417305
628	Koenigsbrunn	Alois Frh.v.	Romershausen	Elard	NA	NA	Beschreibung des Destillir und VeredlungsApparates	"Branntwein, Destillierapparat,
Brauapparat"	Graz	1823	24.01.1823	47.0678961	15.4417305
629	Posener	J.Paul	NA	NA	NA	NA	Beschreibung des Berechnungs-Apparates	Geodätische Instrumente	Wien	1831	NA	48.2080696	16.3713095
630	Koenigsbrunn	Alois Frh.v.	Romershausen	Elard	NA	NA	"Oehle Raffinerie Apparat, und Anwendung desselben zur Extraction von Gärbe und Färbestoffen,
dann Filtrirung von Flüssigkeiten"	"Raffinade/Oel, Oel/Raffinade,
Fischtran, Destillierapparat,
Filtrierapparat"	Graz	1822	31.10.1822	47.0678961	15.4417305
631	Koenigsbrunn	A.B.v.	Scobl	Johann	NA	NA	Beschreibung und Zeichnung des neuen Feuerzeuges oder Zündmaschine	Feuerzeug, Platinstaub, Wasserstoff	Graz	1823	01.10.1823	47.0678961	15.4417305
632	Kaiser	Joseph Franz	NA	NA	NA	NA	Beschreibung zum aromathischen GratzerWasser	Parfüm	Graz	1824	04.02.1824	47.0678961	15.4417305
633	Tanzwohl	Ferdinand	NA	NA	NA	NA	"Beschreibung der neuen bisher unbekannten Verfahrungsart, mittelst eines eigenen
Zuckerrafinement, Liqeure und Rosoglio, sowie überhaupt alle Gattungen geistiger mit Zucker
versetzten Getränken von höchstem Wohlgeschmack zu erzeugen"	Likör, Rosoglio, Raffinade/Zucker	Wien	1824	30.04.1824	48.2080696	16.3713095
634	Sailler	Johann	NA	NA	NA	NA	Beschreibung der Verbesserung einer schwarzen Farbe/Patentschwarz/ ...	Schwarz	Graz	1823	29.11.1823	47.0678961	15.4417305
635	Withalm	Joseph Benedikt	NA	NA	NA	NA	"Genaue Beschreibung den Rauch jeder Küche, jeden Kamin, ja selbst jenen einzelnen Ofen nebst
der Feuersgefahr zu befördern. Ein Gegenstand der Verbesserung. Genaue Beschreibung der
geruchlosen Abritte, ein Gegenstand der Entdeckung"	Abort, Senkgrube, Rauchfang	Graz	1823	08.08.1823	47.0678961	15.4417305
636	Sailler	Anton	Sailler	Johann	NA	NA	"Soda Erzeugung aus Koch, oder Glaubersalz, in Verbindung mit der Bereitung gereinigter
verbesserter thierischer Kohle zu Zucker und Oehlraffinerien. Beschreibung des zur Verkohlung
der Knochen gebrauchten Ofens"	NA	NA	1823	NA	NA	NA
637	Felber	Jakob	NA	NA	NA	NA	"Beschreibung des ... erfundenen DampfDestilationsApparat zur Extrahirung der Geister aus den
verschiedenen Produkten des Pflanzen Reichs"	Destillierapparat, Branntwein	Wien	1824	01.05.1824	48.2080696	16.3713095
638	Hoedl	"Bonaventura
Konstantin"	NA	NA	NA	NA	"Beschreibung mit Zeichnung der ... Erfindung, ... daß er ... a) rücksichtlicher der Form unter dem
Nahmen FAW-Ziegel oder Dreybünder, Mauerziegel ... erzeuge, ... daß mit selben ebene Decken
oder ganz flache Gewölbe ... angefertigt werden können, ... b) rücksichtlich der Qualität
sogenannte Tuffstein- oder Lava-ziegel jeder Form ... verfertige ..."	Ziegel, Tuffziegel, Gewölbeziegel	Graz	1822	11.03.1822	47.0678961	15.4417305
639	Cochelet	Adrian Ludwig R.v.	NA	NA	NA	NA	"Auseinandersetzung und Beschreibung der Helicoidischen Diagonal Tuchscher Maschine oder
Anwendung der Helicoidischen Kraft zum Scheren nach der Diagonale"	Tuchschere, Helocoidkraft	Wien	1821	05.10.1821	48.2080696	16.3713095
640	Lehmann	Friedrich	NA	NA	NA	NA	Decatier Apparat	"Dekatiermaschine, Kleiderstoff,
Appretur"	Wien	1824	26.05.1824	48.2080696	16.3713095
641	Richter	Augustin	Schenk	Joseph	NA	NA	Beschreibung der Decardir Maschine	"Dekatiermaschine, Appretur,
Kleiderstoff"	Wien	1826	01.09.1826	48.2080696	16.3713095
642	Frenkel	Ignaz	Kremser	Joseph	NA	NA	"Beschreibung der Erfindung, aus flachen Bändern von Wolle oder Garn, von was immer für Farbe,
hohle Dochte zu erzeugen"	Docht	Wien	1830	18.01.1830	48.2080696	16.3713095
643	Juettner	Joseph	Wilson	John	Wurm	Franz	Beschreibung der neu erfundenen Flachs- und Hanf-Brechmaschine	Hanf, Flachs, Brechmaschine	Wien	1825	09.11.1825	48.2080696	16.3713095
644	Obersteiner	Alois	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche ... darin besteht, daß der Gußstahl von beliebiger Härte
/:Härtefähigkeit:/ nach Numern oder Graden bestimmt erzeugt werden kann, ..."	Gußstahl, Härten	Wien	1826	11.02.1826	48.2080696	16.3713095
645	Mayer	Ignaz	NA	NA	NA	NA	Beschreibung des mechanischen Musikpultes	Notenpult, Umblättern	Wien	1822	04.11.1822	48.2080696	16.3713095
646	Galeotti	Maximilian	Sonnleithner	Joseph	NA	NA	Beschreibung des hydraulischen Gas-Regulators	Gasregulator	Wien	1826	18.03.1826	48.2080696	16.3713095
647	Dillinger	Joseph	NA	NA	NA	NA	"... zeigt hiemit an eine neue Erfindung und Verbesserung der privilegirten Pattent PfeiffenKöpfe
gemacht zu haben, ..."	Tabakspfeife	Wien	1824	24.11.1824	48.2080696	16.3713095
648	Germ	Franz	NA	NA	NA	NA	"Beschreibung: 1. des Verfahrens, feuchte Mauern, ... vollkommen auszutrocknen, und gegen
ferneres Feuchtwerden zu bewahren ... 2. Ein wasserfester sehr guter Mörtel"	"Mauer, Trockenlegung,
Feuchtigkeitsschutz"	Wien	1825	16.12.1825	48.2080696	16.3713095
649	Ger	"Peregrinus
[Pseud.]"	Prager	Joseph v.	NA	NA	"Beschreibung der ... Erfindung, ... 1. in der Verfertigung verschiedener Gattungen einer auf naßem
Wege bereiteten ... festen Masse, welche der Oberfläche dieser Körper mit ungemeiner
Haltbarkeit anklebet, ... 2. in der Anwendung ..., um die damit übertünchten Körper vor dem Feuer
zu schützen, ... 3. ... zum Stokadoren ... 4. ... Metalle ... vor der Einwirkung der Luft, des Wassers,
des Feuers zu schützen, ..."	"Feuerschutz, Feuchtigkeitsschutz,
Oberflächenschutz"	Wien	1823	24.10.1823	48.2080696	16.3713095
650	Tuernowsky	Joseph	NA	NA	NA	NA	"Beschreibung der neuen Erfindung vertiges Tuch und Wolle mit solche Materialien zu-zurichten im
stande bin"	"Lagerung/Schnittware,
Schnittware/Lagerung"	Wien	1824	21.07.1824	48.2080696	16.3713095
651	Pruckner	Anton	Zwerger	Michael	NA	NA	Kurze Geschichte der Erfindung der Noten-Setzmaschine	Notensetzmaschine	Wien	1825	17.10.1825	48.2080696	16.3713095
652	Egger	Jakob	Tottis	Abraham	NA	NA	Beschreibung der neu Verbesserung in aller Gattungen Manifacteur Waaren	"Schnittware/Lagerung,
Lagerung/Schnittware"	Wien	1825	30.12.1825	48.2080696	16.3713095
653	Marx	Peter	NA	NA	NA	NA	"Darstellung und Erklärung der Vorzüge der neu erfundenen Oehlmühle von Eisen, über die bisher
gebräuchlichen Oelmaschinerien, als Stampfen, Steine, und Walzen"	Oehlmühle	"St. Martin b.
Trier"	1826	28.02.1826	49.7799382	6.6920595
654	Desfossè	Aimable	NA	NA	NA	NA	"... a obtenu un Privilegè pour une masse propre à monter toutes espreces d'ornamentes pour
servir à la Decoration des appartements, ... [Wohnungschmuck]"	Stukkatur	Wien	1826	31.05.1826	48.2080696	16.3713095
655	Mazzara	Luigi	NA	NA	NA	NA	Beschreibung einer neuen Verfahrungsart, erfunden zur Verfertigung des Gases ...	Leuchtgas	Wien	1827	08.03.1827	48.2080696	16.3713095
656	Viande	Francesco	NA	NA	NA	NA	"Descrizione e pratica che usa ... per ridurre ... le pelle di capre e di pecore in marrochini d'ogni
colori, ..."	Maroquin, Gerberei	Milano	1821	02.08.1821	45.468503	9.1824027
657	Tettamanzi	Francesco	NA	NA	NA	NA	Descrizione di un'applicazione di alcuni miglioramenti fatti sul molino da seta [Seidenmühle]	Zwirnmaschine	Milano	1821	16.07.1821	45.468503	9.1824027
658	Weickmann	Franz	NA	NA	NA	NA	Genaue Beschreibung der Verfahrungsart zu der ... neu erfundenen Schwarzfarbe	Schwarz	"Mitterbach b.
Maria-Zell"	1821	26.03.1821	47.8146075	15.2944696
659	Tuermer	Joseph	NA	NA	NA	NA	"Genaue Beschreibung der Verbesserung an der Anbringung und Zusammensetzung der
Wagenfedern nach zwey Arten"	Wagen, Federung/Wagen	Wien	1821	02.10.1821	48.2080696	16.3713095
660	Nowotny	Karl	NA	NA	NA	NA	Beschreibung einer neu erfundenen vom Wasser getriebenen Drechselbank	Drechselbank	Wien	1821	08.11.1821	48.2080696	16.3713095
661	Haekl	Anton	NA	NA	NA	NA	"Beschreibung der ... Entdeckung, welche ... darin besteht, daß nämlich durch den Wind aus
Messing und stählernen Federn, welche in messingernen Körpern befestigt sind,
verschiedenartige Töne erzeuget ..., aus Ursache der durch den Wind erzeugten Töne ist dieses ...
Instrument Physharmonika genannt worden: diese Vorrichtung erfordere einen so kleinen Raum,
daß diese Physharmonika mit jedem Blasinstrumente in Verbindung gesetzt werden kann, ohne
den Korpus im geringsten zu vergrößern"	Physharmonika	Wien	1821	21.03.1821	48.2080696	16.3713095
662	Jauernig	Jakob	NA	NA	NA	NA	"Beschreibung der Maschine für die Zerkleinerung der Lohrinde. Beschreibung des
Dampfapparates zur Zubereitung der Gerberlohe"	Gerberei, Lohrinde	Wien	1821	20.08.1821	48.2080696	16.3713095
663	Baussemer	Johann	NA	NA	NA	NA	Beschreibung der Verbesserungen an der sogenannten Jaquart-Maschine	Jacquardmaschine, Webstuhl	Wien	1821	10.04.1821	48.2080696	16.3713095
664	Kroegner	Johann Adam	NA	NA	NA	NA	"Beschreibung der ... Erfindung, welche ... darin besteht: neue general Volatilisations- und Fixations
Oefen zu erbauen, in denselben mit Steinkohlen am zweckmässigsten Kalk zu brennen, zu
verkohlen, Erze abzuschwefeln oder zu rösten, ... hieraus Porax zu erzeugen, ... Endlich mit diesen
... Ofen auch ein natürliches immer gleiches Gebläße zu verbinden ..."	Kalkofen, Hochofen	"Kaltenleutgebe
n"	1821	21.07.1821	48.1186151	16.2040047
